"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","Create file","LMS service","Sat May 02 20:52:38 UTC 2026","passed","Sat May 02 20:52:39 UTC 2026","Create entity","Files","",""
"","560","Create user","LMS service","Sat May 02 20:52:42 UTC 2026","passed","Sat May 02 20:52:42 UTC 2026","Create entity","Users","",""
"","289","Get exercises","LMS service","Sat May 02 20:52:38 UTC 2026","passed","Sat May 02 20:52:38 UTC 2026","Get entities","Exercises","",""
"","540","Create user","LMS service","Sat May 02 20:52:41 UTC 2026","passed","Sat May 02 20:52:42 UTC 2026","Create entity","Users","",""
"","29","Get courses","LMS service","Sat May 02 20:52:35 UTC 2026","passed","Sat May 02 20:52:35 UTC 2026","Get entities","Courses","",""
"","26","Create exercise","LMS service","Sat May 02 20:52:36 UTC 2026","passed","Sat May 02 20:52:36 UTC 2026","Create entity","Exercises","",""
"","19","Delete file","LMS service","Sat May 02 20:52:41 UTC 2026","passed","Sat May 02 20:52:41 UTC 2026","Delete entity","Files","",""
"","15","Get file","LMS service","Sat May 02 20:52:39 UTC 2026","passed","Sat May 02 20:52:39 UTC 2026","Get entity","Files","",""
"","40","Update course","LMS service","Sat May 02 20:52:34 UTC 2026","passed","Sat May 02 20:52:34 UTC 2026","Update entity","Courses","",""
"","269","Create file with empty directory","LMS service","Sat May 02 20:52:40 UTC 2026","passed","Sat May 02 20:52:40 UTC 2026","Validate entity","Files","",""
"","291","Update exercise","LMS service","Sat May 02 20:52:36 UTC 2026","passed","Sat May 02 20:52:37 UTC 2026","Update entity","Exercises","",""
"","552","Login with correct credentials","LMS service","Sat May 02 20:52:33 UTC 2026","passed","Sat May 02 20:52:34 UTC 2026","Login","Authentication","",""
"","17","Delete exercise","LMS service","Sat May 02 20:52:38 UTC 2026","passed","Sat May 02 20:52:38 UTC 2026","Delete entity","Exercises","",""
"","263","Create file with empty filename","LMS service","Sat May 02 20:52:40 UTC 2026","passed","Sat May 02 20:52:40 UTC 2026","Validate entity","Files","",""
"","27","Get exercise","LMS service","Sat May 02 20:52:37 UTC 2026","passed","Sat May 02 20:52:37 UTC 2026","Get entity","Exercises","",""
"","11","Get user me","LMS service","Sat May 02 20:52:43 UTC 2026","passed","Sat May 02 20:52:43 UTC 2026","Get entity","Users","",""
"","266","Get file with incorrect file id","LMS service","Sat May 02 20:52:41 UTC 2026","passed","Sat May 02 20:52:42 UTC 2026","Validate entity","Files","",""
"","562","Create user","LMS service","Sat May 02 20:52:42 UTC 2026","passed","Sat May 02 20:52:42 UTC 2026","Create entity","Users","",""
"","29","Create course","LMS service","Sat May 02 20:52:35 UTC 2026","passed","Sat May 02 20:52:35 UTC 2026","Create entity","Courses","",""
