"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","623","Create user","LMS service","Sat May 02 14:50:53 UTC 2026","passed","Sat May 02 14:50:54 UTC 2026","Create entity","Users","",""
"","14","Get file","LMS service","Sat May 02 14:50:51 UTC 2026","passed","Sat May 02 14:50:51 UTC 2026","Get entity","Files","",""
"","11","Get user me","LMS service","Sat May 02 14:50:55 UTC 2026","passed","Sat May 02 14:50:55 UTC 2026","Get entity","Users","",""
"","297","Create file","LMS service","Sat May 02 14:50:50 UTC 2026","passed","Sat May 02 14:50:51 UTC 2026","Create entity","Files","",""
"","21","Create exercise","LMS service","Sat May 02 14:50:47 UTC 2026","passed","Sat May 02 14:50:47 UTC 2026","Create entity","Exercises","",""
"","19","Get exercise","LMS service","Sat May 02 14:50:48 UTC 2026","passed","Sat May 02 14:50:48 UTC 2026","Get entity","Exercises","",""
"","318","Login with correct credentials","LMS service","Sat May 02 14:50:44 UTC 2026","passed","Sat May 02 14:50:45 UTC 2026","Login","Authentication","",""
"","28","Delete exercise","LMS service","Sat May 02 14:50:49 UTC 2026","passed","Sat May 02 14:50:49 UTC 2026","Delete entity","Exercises","",""
"","326","Create user","LMS service","Sat May 02 14:50:53 UTC 2026","passed","Sat May 02 14:50:54 UTC 2026","Create entity","Users","",""
"","593","Create user","LMS service","Sat May 02 14:50:54 UTC 2026","passed","Sat May 02 14:50:54 UTC 2026","Create entity","Users","",""
"","301","Create file with empty filename","LMS service","Sat May 02 14:50:52 UTC 2026","passed","Sat May 02 14:50:52 UTC 2026","Validate entity","Files","",""
"","21","Delete file","LMS service","Sat May 02 14:50:53 UTC 2026","passed","Sat May 02 14:50:53 UTC 2026","Delete entity","Files","",""
"","20","Get exercises","LMS service","Sat May 02 14:50:49 UTC 2026","passed","Sat May 02 14:50:50 UTC 2026","Get entities","Exercises","",""
"","333","Update course","LMS service","Sat May 02 14:50:45 UTC 2026","passed","Sat May 02 14:50:46 UTC 2026","Update entity","Courses","",""
"","16","Create file with empty directory","LMS service","Sat May 02 14:50:52 UTC 2026","passed","Sat May 02 14:50:52 UTC 2026","Validate entity","Files","",""
"","18","Get file with incorrect file id","LMS service","Sat May 02 14:50:53 UTC 2026","passed","Sat May 02 14:50:53 UTC 2026","Validate entity","Files","",""
"","26","Update exercise","LMS service","Sat May 02 14:50:48 UTC 2026","passed","Sat May 02 14:50:48 UTC 2026","Update entity","Exercises","",""
"","28","Create course","LMS service","Sat May 02 14:50:47 UTC 2026","passed","Sat May 02 14:50:47 UTC 2026","Create entity","Courses","",""
"","24","Get courses","LMS service","Sat May 02 14:50:46 UTC 2026","passed","Sat May 02 14:50:46 UTC 2026","Get entities","Courses","",""
