"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Get courses","LMS service","Sat May 02 19:12:59 UTC 2026","passed","Sat May 02 19:12:59 UTC 2026","Get entities","Courses","",""
"","19","Get exercise","LMS service","Sat May 02 19:13:01 UTC 2026","passed","Sat May 02 19:13:01 UTC 2026","Get entity","Exercises","",""
"","15","Get file","LMS service","Sat May 02 19:13:03 UTC 2026","passed","Sat May 02 19:13:03 UTC 2026","Get entity","Files","",""
"","530","Create user","LMS service","Sat May 02 19:13:06 UTC 2026","passed","Sat May 02 19:13:06 UTC 2026","Create entity","Users","",""
"","252","Get file with incorrect file id","LMS service","Sat May 02 19:13:05 UTC 2026","passed","Sat May 02 19:13:06 UTC 2026","Validate entity","Files","",""
"","29","Update course","LMS service","Sat May 02 19:12:58 UTC 2026","passed","Sat May 02 19:12:58 UTC 2026","Update entity","Courses","",""
"","272","Delete exercise","LMS service","Sat May 02 19:13:02 UTC 2026","passed","Sat May 02 19:13:02 UTC 2026","Delete entity","Exercises","",""
"","249","Create file with empty directory","LMS service","Sat May 02 19:13:04 UTC 2026","passed","Sat May 02 19:13:05 UTC 2026","Validate entity","Files","",""
"","529","Create user","LMS service","Sat May 02 19:13:06 UTC 2026","passed","Sat May 02 19:13:06 UTC 2026","Create entity","Users","",""
"","240","Create file","LMS service","Sat May 02 19:13:03 UTC 2026","passed","Sat May 02 19:13:03 UTC 2026","Create entity","Files","",""
"","21","Create exercise","LMS service","Sat May 02 19:13:00 UTC 2026","passed","Sat May 02 19:13:00 UTC 2026","Create entity","Exercises","",""
"","11","Get user me","LMS service","Sat May 02 19:13:07 UTC 2026","passed","Sat May 02 19:13:07 UTC 2026","Get entity","Users","",""
"","507","Create user","LMS service","Sat May 02 19:13:05 UTC 2026","passed","Sat May 02 19:13:06 UTC 2026","Create entity","Users","",""
"","31","Create course","LMS service","Sat May 02 19:12:59 UTC 2026","passed","Sat May 02 19:12:59 UTC 2026","Create entity","Courses","",""
"","252","Create file with empty filename","LMS service","Sat May 02 19:13:04 UTC 2026","passed","Sat May 02 19:13:04 UTC 2026","Validate entity","Files","",""
"","274","Update exercise","LMS service","Sat May 02 19:13:01 UTC 2026","passed","Sat May 02 19:13:01 UTC 2026","Update entity","Exercises","",""
"","20","Get exercises","LMS service","Sat May 02 19:13:02 UTC 2026","passed","Sat May 02 19:13:02 UTC 2026","Get entities","Exercises","",""
"","19","Delete file","LMS service","Sat May 02 19:13:05 UTC 2026","passed","Sat May 02 19:13:05 UTC 2026","Delete entity","Files","",""
"","525","Login with correct credentials","LMS service","Sat May 02 19:12:58 UTC 2026","passed","Sat May 02 19:12:58 UTC 2026","Login","Authentication","",""
