"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get user me","LMS service","Sat May 02 20:40:56 UTC 2026","passed","Sat May 02 20:40:56 UTC 2026","Get entity","Users","",""
"","27","Create exercise","LMS service","Sat May 02 20:40:49 UTC 2026","passed","Sat May 02 20:40:49 UTC 2026","Create entity","Exercises","",""
"","290","Update exercise","LMS service","Sat May 02 20:40:50 UTC 2026","passed","Sat May 02 20:40:50 UTC 2026","Update entity","Exercises","",""
"","268","Create file with empty filename","LMS service","Sat May 02 20:40:53 UTC 2026","passed","Sat May 02 20:40:53 UTC 2026","Validate entity","Files","",""
"","270","Create file with empty directory","LMS service","Sat May 02 20:40:54 UTC 2026","passed","Sat May 02 20:40:54 UTC 2026","Validate entity","Files","",""
"","13","Get file","LMS service","Sat May 02 20:40:53 UTC 2026","passed","Sat May 02 20:40:53 UTC 2026","Get entity","Files","",""
"","551","Login with correct credentials","LMS service","Sat May 02 20:40:47 UTC 2026","passed","Sat May 02 20:40:47 UTC 2026","Login","Authentication","",""
"","290","Get exercises","LMS service","Sat May 02 20:40:51 UTC 2026","passed","Sat May 02 20:40:52 UTC 2026","Get entities","Exercises","",""
"","18","Delete exercise","LMS service","Sat May 02 20:40:51 UTC 2026","passed","Sat May 02 20:40:51 UTC 2026","Delete entity","Exercises","",""
"","269","Create file","LMS service","Sat May 02 20:40:52 UTC 2026","passed","Sat May 02 20:40:52 UTC 2026","Create entity","Files","",""
"","563","Create user","LMS service","Sat May 02 20:40:55 UTC 2026","passed","Sat May 02 20:40:56 UTC 2026","Create entity","Users","",""
"","32","Get courses","LMS service","Sat May 02 20:40:48 UTC 2026","passed","Sat May 02 20:40:48 UTC 2026","Get entities","Courses","",""
"","547","Create user","LMS service","Sat May 02 20:40:55 UTC 2026","passed","Sat May 02 20:40:55 UTC 2026","Create entity","Users","",""
"","263","Get file with incorrect file id","LMS service","Sat May 02 20:40:55 UTC 2026","passed","Sat May 02 20:40:55 UTC 2026","Validate entity","Files","",""
"","36","Update course","LMS service","Sat May 02 20:40:48 UTC 2026","passed","Sat May 02 20:40:48 UTC 2026","Update entity","Courses","",""
"","30","Create course","LMS service","Sat May 02 20:40:49 UTC 2026","passed","Sat May 02 20:40:49 UTC 2026","Create entity","Courses","",""
"","559","Create user","LMS service","Sat May 02 20:40:55 UTC 2026","passed","Sat May 02 20:40:56 UTC 2026","Create entity","Users","",""
"","21","Delete file","LMS service","Sat May 02 20:40:55 UTC 2026","passed","Sat May 02 20:40:55 UTC 2026","Delete entity","Files","",""
"","25","Get exercise","LMS service","Sat May 02 20:40:50 UTC 2026","passed","Sat May 02 20:40:50 UTC 2026","Get entity","Exercises","",""
