"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Get exercises","LMS service","Fri Apr 10 10:35:31 UTC 2026","passed","Fri Apr 10 10:35:31 UTC 2026","Get entities","Exercises","",""
"","264","Create file with empty filename","LMS service","Fri Apr 10 10:35:33 UTC 2026","passed","Fri Apr 10 10:35:33 UTC 2026","Validate entity","Files","",""
"","32","Get courses","LMS service","Fri Apr 10 10:35:28 UTC 2026","passed","Fri Apr 10 10:35:28 UTC 2026","Get entities","Courses","",""
"","556","Create user","LMS service","Fri Apr 10 10:35:35 UTC 2026","passed","Fri Apr 10 10:35:35 UTC 2026","Create entity","Users","",""
"","311","Update course","LMS service","Fri Apr 10 10:35:27 UTC 2026","passed","Fri Apr 10 10:35:27 UTC 2026","Update entity","Courses","",""
"","267","Create file","LMS service","Fri Apr 10 10:35:32 UTC 2026","passed","Fri Apr 10 10:35:32 UTC 2026","Create entity","Files","",""
"","25","Create exercise","LMS service","Fri Apr 10 10:35:29 UTC 2026","passed","Fri Apr 10 10:35:29 UTC 2026","Create entity","Exercises","",""
"","294","Update exercise","LMS service","Fri Apr 10 10:35:29 UTC 2026","passed","Fri Apr 10 10:35:30 UTC 2026","Update entity","Exercises","",""
"","265","Create file with empty directory","LMS service","Fri Apr 10 10:35:33 UTC 2026","passed","Fri Apr 10 10:35:34 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Fri Apr 10 10:35:36 UTC 2026","passed","Fri Apr 10 10:35:36 UTC 2026","Get entity","Users","",""
"","558","Create user","LMS service","Fri Apr 10 10:35:35 UTC 2026","passed","Fri Apr 10 10:35:35 UTC 2026","Create entity","Users","",""
"","543","Create user","LMS service","Fri Apr 10 10:35:34 UTC 2026","passed","Fri Apr 10 10:35:35 UTC 2026","Create entity","Users","",""
"","22","Get exercise","LMS service","Fri Apr 10 10:35:30 UTC 2026","passed","Fri Apr 10 10:35:30 UTC 2026","Get entity","Exercises","",""
"","14","Get file","LMS service","Fri Apr 10 10:35:32 UTC 2026","passed","Fri Apr 10 10:35:32 UTC 2026","Get entity","Files","",""
"","554","Login with correct credentials","LMS service","Fri Apr 10 10:35:26 UTC 2026","passed","Fri Apr 10 10:35:27 UTC 2026","Login","Authentication","",""
"","269","Get file with incorrect file id","LMS service","Fri Apr 10 10:35:34 UTC 2026","passed","Fri Apr 10 10:35:35 UTC 2026","Validate entity","Files","",""
"","27","Delete file","LMS service","Fri Apr 10 10:35:34 UTC 2026","passed","Fri Apr 10 10:35:34 UTC 2026","Delete entity","Files","",""
"","291","Delete exercise","LMS service","Fri Apr 10 10:35:31 UTC 2026","passed","Fri Apr 10 10:35:31 UTC 2026","Delete entity","Exercises","",""
"","34","Create course","LMS service","Fri Apr 10 10:35:28 UTC 2026","passed","Fri Apr 10 10:35:28 UTC 2026","Create entity","Courses","",""
