"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Delete file","LMS service","Sat May 02 14:39:56 UTC 2026","passed","Sat May 02 14:39:56 UTC 2026","Delete entity","Files","",""
"","29","Get courses","LMS service","Sat May 02 14:39:49 UTC 2026","passed","Sat May 02 14:39:49 UTC 2026","Get entities","Courses","",""
"","16","Get file","LMS service","Sat May 02 14:39:54 UTC 2026","passed","Sat May 02 14:39:54 UTC 2026","Get entity","Files","",""
"","12","Get user me","LMS service","Sat May 02 14:39:58 UTC 2026","passed","Sat May 02 14:39:58 UTC 2026","Get entity","Users","",""
"","294","Create user","LMS service","Sat May 02 14:39:56 UTC 2026","passed","Sat May 02 14:39:57 UTC 2026","Create entity","Users","",""
"","24","Create exercise","LMS service","Sat May 02 14:39:50 UTC 2026","passed","Sat May 02 14:39:50 UTC 2026","Create entity","Exercises","",""
"","27","Delete exercise","LMS service","Sat May 02 14:39:53 UTC 2026","passed","Sat May 02 14:39:53 UTC 2026","Delete entity","Exercises","",""
"","27","Update exercise","LMS service","Sat May 02 14:39:51 UTC 2026","passed","Sat May 02 14:39:52 UTC 2026","Update entity","Exercises","",""
"","19","Create file with empty directory","LMS service","Sat May 02 14:39:55 UTC 2026","passed","Sat May 02 14:39:55 UTC 2026","Validate entity","Files","",""
"","19","Get exercises","LMS service","Sat May 02 14:39:53 UTC 2026","passed","Sat May 02 14:39:53 UTC 2026","Get entities","Exercises","",""
"","262","Create file with empty filename","LMS service","Sat May 02 14:39:55 UTC 2026","passed","Sat May 02 14:39:55 UTC 2026","Validate entity","Files","",""
"","558","Create user","LMS service","Sat May 02 14:39:56 UTC 2026","passed","Sat May 02 14:39:57 UTC 2026","Create entity","Users","",""
"","260","Create file","LMS service","Sat May 02 14:39:54 UTC 2026","passed","Sat May 02 14:39:54 UTC 2026","Create entity","Files","",""
"","22","Get exercise","LMS service","Sat May 02 14:39:52 UTC 2026","passed","Sat May 02 14:39:52 UTC 2026","Get entity","Exercises","",""
"","524","Create user","LMS service","Sat May 02 14:39:57 UTC 2026","passed","Sat May 02 14:39:57 UTC 2026","Create entity","Users","",""
"","305","Update course","LMS service","Sat May 02 14:39:49 UTC 2026","passed","Sat May 02 14:39:49 UTC 2026","Update entity","Courses","",""
"","286","Login with correct credentials","LMS service","Sat May 02 14:39:48 UTC 2026","passed","Sat May 02 14:39:48 UTC 2026","Login","Authentication","",""
"","18","Get file with incorrect file id","LMS service","Sat May 02 14:39:56 UTC 2026","passed","Sat May 02 14:39:56 UTC 2026","Validate entity","Files","",""
"","32","Create course","LMS service","Sat May 02 14:39:50 UTC 2026","passed","Sat May 02 14:39:50 UTC 2026","Create entity","Courses","",""
