"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","Get user me","LMS service","Sat May 02 10:55:52 UTC 2026","passed","Sat May 02 10:55:52 UTC 2026","Get entity","Users","",""
"","619","Login with correct credentials","LMS service","Sat May 02 10:55:41 UTC 2026","passed","Sat May 02 10:55:41 UTC 2026","Login","Authentication","",""
"","608","Create user","LMS service","Sat May 02 10:55:50 UTC 2026","passed","Sat May 02 10:55:50 UTC 2026","Create entity","Users","",""
"","15","Get file","LMS service","Sat May 02 10:55:48 UTC 2026","passed","Sat May 02 10:55:48 UTC 2026","Get entity","Files","",""
"","308","Get file with incorrect file id","LMS service","Sat May 02 10:55:50 UTC 2026","passed","Sat May 02 10:55:50 UTC 2026","Validate entity","Files","",""
"","19","Delete exercise","LMS service","Sat May 02 10:55:46 UTC 2026","passed","Sat May 02 10:55:46 UTC 2026","Delete entity","Exercises","",""
"","301","Create file with empty filename","LMS service","Sat May 02 10:55:48 UTC 2026","passed","Sat May 02 10:55:48 UTC 2026","Validate entity","Files","",""
"","19","Create file","LMS service","Sat May 02 10:55:47 UTC 2026","passed","Sat May 02 10:55:47 UTC 2026","Create entity","Files","",""
"","22","Get exercises","LMS service","Sat May 02 10:55:47 UTC 2026","passed","Sat May 02 10:55:47 UTC 2026","Get entities","Exercises","",""
"","416","Update course","LMS service","Sat May 02 10:55:41 UTC 2026","passed","Sat May 02 10:55:42 UTC 2026","Update entity","Courses","",""
"","322","Create user","LMS service","Sat May 02 10:55:50 UTC 2026","passed","Sat May 02 10:55:51 UTC 2026","Create entity","Users","",""
"","21","Update exercise","LMS service","Sat May 02 10:55:44 UTC 2026","passed","Sat May 02 10:55:44 UTC 2026","Update entity","Exercises","",""
"","300","Create file with empty directory","LMS service","Sat May 02 10:55:49 UTC 2026","passed","Sat May 02 10:55:49 UTC 2026","Validate entity","Files","",""
"","26","Get exercise","LMS service","Sat May 02 10:55:46 UTC 2026","passed","Sat May 02 10:55:46 UTC 2026","Get entity","Exercises","",""
"","31","Create course","LMS service","Sat May 02 10:55:43 UTC 2026","passed","Sat May 02 10:55:43 UTC 2026","Create entity","Courses","",""
"","337","Get courses","LMS service","Sat May 02 10:55:43 UTC 2026","passed","Sat May 02 10:55:43 UTC 2026","Get entities","Courses","",""
"","327","Delete file","LMS service","Sat May 02 10:55:49 UTC 2026","passed","Sat May 02 10:55:50 UTC 2026","Delete entity","Files","",""
"","621","Create user","LMS service","Sat May 02 10:55:50 UTC 2026","passed","Sat May 02 10:55:51 UTC 2026","Create entity","Users","",""
"","28","Create exercise","LMS service","Sat May 02 10:55:44 UTC 2026","passed","Sat May 02 10:55:44 UTC 2026","Create entity","Exercises","",""
