"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","Update exercise","LMS service","Tue Apr 07 17:51:42 UTC 2026","passed","Tue Apr 07 17:51:42 UTC 2026","Update entity","Exercises","",""
"","298","Get exercise","LMS service","Tue Apr 07 17:51:42 UTC 2026","passed","Tue Apr 07 17:51:42 UTC 2026","Get entity","Exercises","",""
"","291","Delete exercise","LMS service","Tue Apr 07 17:51:43 UTC 2026","passed","Tue Apr 07 17:51:43 UTC 2026","Delete entity","Exercises","",""
"","18","Get exercises","LMS service","Tue Apr 07 17:51:43 UTC 2026","passed","Tue Apr 07 17:51:43 UTC 2026","Get entities","Exercises","",""
"","265","Create file with empty directory","LMS service","Tue Apr 07 17:51:45 UTC 2026","passed","Tue Apr 07 17:51:46 UTC 2026","Validate entity","Files","",""
"","261","Create file","LMS service","Tue Apr 07 17:51:44 UTC 2026","passed","Tue Apr 07 17:51:44 UTC 2026","Create entity","Files","",""
"","553","Create user","LMS service","Tue Apr 07 17:51:46 UTC 2026","passed","Tue Apr 07 17:51:47 UTC 2026","Create entity","Users","",""
"","307","Update course","LMS service","Tue Apr 07 17:51:39 UTC 2026","passed","Tue Apr 07 17:51:39 UTC 2026","Update entity","Courses","",""
"","289","Create user","LMS service","Tue Apr 07 17:51:47 UTC 2026","passed","Tue Apr 07 17:51:47 UTC 2026","Create entity","Users","",""
"","32","Create course","LMS service","Tue Apr 07 17:51:40 UTC 2026","passed","Tue Apr 07 17:51:40 UTC 2026","Create entity","Courses","",""
"","265","Create file with empty filename","LMS service","Tue Apr 07 17:51:45 UTC 2026","passed","Tue Apr 07 17:51:45 UTC 2026","Validate entity","Files","",""
"","20","Delete file","LMS service","Tue Apr 07 17:51:46 UTC 2026","passed","Tue Apr 07 17:51:46 UTC 2026","Delete entity","Files","",""
"","13","Get user me","LMS service","Tue Apr 07 17:51:48 UTC 2026","passed","Tue Apr 07 17:51:48 UTC 2026","Get entity","Users","",""
"","310","Get courses","LMS service","Tue Apr 07 17:51:39 UTC 2026","passed","Tue Apr 07 17:51:40 UTC 2026","Get entities","Courses","",""
"","286","Login with correct credentials","LMS service","Tue Apr 07 17:51:38 UTC 2026","passed","Tue Apr 07 17:51:38 UTC 2026","Login","Authentication","",""
"","29","Create exercise","LMS service","Tue Apr 07 17:51:41 UTC 2026","passed","Tue Apr 07 17:51:41 UTC 2026","Create entity","Exercises","",""
"","562","Create user","LMS service","Tue Apr 07 17:51:47 UTC 2026","passed","Tue Apr 07 17:51:47 UTC 2026","Create entity","Users","",""
"","262","Get file with incorrect file id","LMS service","Tue Apr 07 17:51:46 UTC 2026","passed","Tue Apr 07 17:51:47 UTC 2026","Validate entity","Files","",""
"","13","Get file","LMS service","Tue Apr 07 17:51:44 UTC 2026","passed","Tue Apr 07 17:51:44 UTC 2026","Get entity","Files","",""
