"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Get courses","LMS service","Tue Apr 07 19:38:14 UTC 2026","passed","Tue Apr 07 19:38:14 UTC 2026","Get entities","Courses","",""
"","21","Get exercises","LMS service","Tue Apr 07 19:38:18 UTC 2026","passed","Tue Apr 07 19:38:18 UTC 2026","Get entities","Exercises","",""
"","21","Update exercise","LMS service","Tue Apr 07 19:38:16 UTC 2026","passed","Tue Apr 07 19:38:16 UTC 2026","Update entity","Exercises","",""
"","549","Login with correct credentials","LMS service","Tue Apr 07 19:38:13 UTC 2026","passed","Tue Apr 07 19:38:13 UTC 2026","Login","Authentication","",""
"","27","Delete file","LMS service","Tue Apr 07 19:38:21 UTC 2026","passed","Tue Apr 07 19:38:21 UTC 2026","Delete entity","Files","",""
"","291","Delete exercise","LMS service","Tue Apr 07 19:38:17 UTC 2026","passed","Tue Apr 07 19:38:18 UTC 2026","Delete entity","Exercises","",""
"","316","Update course","LMS service","Tue Apr 07 19:38:13 UTC 2026","passed","Tue Apr 07 19:38:14 UTC 2026","Update entity","Courses","",""
"","34","Create course","LMS service","Tue Apr 07 19:38:15 UTC 2026","passed","Tue Apr 07 19:38:15 UTC 2026","Create entity","Courses","",""
"","14","Get file","LMS service","Tue Apr 07 19:38:19 UTC 2026","passed","Tue Apr 07 19:38:19 UTC 2026","Get entity","Files","",""
"","267","Get file with incorrect file id","LMS service","Tue Apr 07 19:38:21 UTC 2026","passed","Tue Apr 07 19:38:22 UTC 2026","Validate entity","Files","",""
"","27","Create exercise","LMS service","Tue Apr 07 19:38:16 UTC 2026","passed","Tue Apr 07 19:38:16 UTC 2026","Create entity","Exercises","",""
"","274","Create file","LMS service","Tue Apr 07 19:38:18 UTC 2026","passed","Tue Apr 07 19:38:19 UTC 2026","Create entity","Files","",""
"","269","Create file with empty directory","LMS service","Tue Apr 07 19:38:20 UTC 2026","passed","Tue Apr 07 19:38:20 UTC 2026","Validate entity","Files","",""
"","295","Get exercise","LMS service","Tue Apr 07 19:38:16 UTC 2026","passed","Tue Apr 07 19:38:17 UTC 2026","Get entity","Exercises","",""
"","13","Get user me","LMS service","Tue Apr 07 19:38:23 UTC 2026","passed","Tue Apr 07 19:38:23 UTC 2026","Get entity","Users","",""
"","264","Create file with empty filename","LMS service","Tue Apr 07 19:38:19 UTC 2026","passed","Tue Apr 07 19:38:20 UTC 2026","Validate entity","Files","",""
"","558","Create user","LMS service","Tue Apr 07 19:38:22 UTC 2026","passed","Tue Apr 07 19:38:22 UTC 2026","Create entity","Users","",""
"","289","Create user","LMS service","Tue Apr 07 19:38:22 UTC 2026","passed","Tue Apr 07 19:38:22 UTC 2026","Create entity","Users","",""
"","539","Create user","LMS service","Tue Apr 07 19:38:21 UTC 2026","passed","Tue Apr 07 19:38:22 UTC 2026","Create entity","Users","",""
