"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Create file with empty filename","LMS service","Sat May 02 12:03:22 UTC 2026","passed","Sat May 02 12:03:22 UTC 2026","Validate entity","Files","",""
"","15","Create file","LMS service","Sat May 02 12:03:21 UTC 2026","passed","Sat May 02 12:03:21 UTC 2026","Create entity","Files","",""
"","295","Delete file","LMS service","Sat May 02 12:03:24 UTC 2026","passed","Sat May 02 12:03:24 UTC 2026","Delete entity","Files","",""
"","28","Get courses","LMS service","Sat May 02 12:03:17 UTC 2026","passed","Sat May 02 12:03:17 UTC 2026","Get entities","Courses","",""
"","287","Get exercises","LMS service","Sat May 02 12:03:21 UTC 2026","passed","Sat May 02 12:03:21 UTC 2026","Get entities","Exercises","",""
"","15","Get file with incorrect file id","LMS service","Sat May 02 12:03:24 UTC 2026","passed","Sat May 02 12:03:24 UTC 2026","Validate entity","Files","",""
"","288","Create user","LMS service","Sat May 02 12:03:24 UTC 2026","passed","Sat May 02 12:03:25 UTC 2026","Create entity","Users","",""
"","20","Delete exercise","LMS service","Sat May 02 12:03:20 UTC 2026","passed","Sat May 02 12:03:20 UTC 2026","Delete entity","Exercises","",""
"","559","Create user","LMS service","Sat May 02 12:03:24 UTC 2026","passed","Sat May 02 12:03:24 UTC 2026","Create entity","Users","",""
"","546","Create user","LMS service","Sat May 02 12:03:24 UTC 2026","passed","Sat May 02 12:03:25 UTC 2026","Create entity","Users","",""
"","302","Create exercise","LMS service","Sat May 02 12:03:18 UTC 2026","passed","Sat May 02 12:03:19 UTC 2026","Create entity","Exercises","",""
"","12","Get user me","LMS service","Sat May 02 12:03:26 UTC 2026","passed","Sat May 02 12:03:26 UTC 2026","Get entity","Users","",""
"","269","Create file with empty directory","LMS service","Sat May 02 12:03:23 UTC 2026","passed","Sat May 02 12:03:24 UTC 2026","Validate entity","Files","",""
"","29","Create course","LMS service","Sat May 02 12:03:18 UTC 2026","passed","Sat May 02 12:03:18 UTC 2026","Create entity","Courses","",""
"","309","Update course","LMS service","Sat May 02 12:03:16 UTC 2026","passed","Sat May 02 12:03:17 UTC 2026","Update entity","Courses","",""
"","24","Update exercise","LMS service","Sat May 02 12:03:19 UTC 2026","passed","Sat May 02 12:03:19 UTC 2026","Update entity","Exercises","",""
"","290","Get exercise","LMS service","Sat May 02 12:03:20 UTC 2026","passed","Sat May 02 12:03:20 UTC 2026","Get entity","Exercises","",""
"","555","Login with correct credentials","LMS service","Sat May 02 12:03:16 UTC 2026","passed","Sat May 02 12:03:16 UTC 2026","Login","Authentication","",""
"","14","Get file","LMS service","Sat May 02 12:03:22 UTC 2026","passed","Sat May 02 12:03:22 UTC 2026","Get entity","Files","",""
