"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Delete exercise","LMS service","Sat May 02 10:50:24 UTC 2026","passed","Sat May 02 10:50:24 UTC 2026","Delete entity","Exercises","",""
"","288","Get exercise","LMS service","Sat May 02 10:50:23 UTC 2026","passed","Sat May 02 10:50:23 UTC 2026","Get entity","Exercises","",""
"","292","Get exercises","LMS service","Sat May 02 10:50:24 UTC 2026","passed","Sat May 02 10:50:24 UTC 2026","Get entities","Exercises","",""
"","10","Get user me","LMS service","Sat May 02 10:50:29 UTC 2026","passed","Sat May 02 10:50:29 UTC 2026","Get entity","Users","",""
"","282","Login with correct credentials","LMS service","Sat May 02 10:50:19 UTC 2026","passed","Sat May 02 10:50:19 UTC 2026","Login","Authentication","",""
"","263","Create file with empty filename","LMS service","Sat May 02 10:50:26 UTC 2026","passed","Sat May 02 10:50:26 UTC 2026","Validate entity","Files","",""
"","555","Create user","LMS service","Sat May 02 10:50:28 UTC 2026","passed","Sat May 02 10:50:28 UTC 2026","Create entity","Users","",""
"","19","Delete file","LMS service","Sat May 02 10:50:27 UTC 2026","passed","Sat May 02 10:50:27 UTC 2026","Delete entity","Files","",""
"","23","Create exercise","LMS service","Sat May 02 10:50:22 UTC 2026","passed","Sat May 02 10:50:22 UTC 2026","Create entity","Exercises","",""
"","267","Get file with incorrect file id","LMS service","Sat May 02 10:50:27 UTC 2026","passed","Sat May 02 10:50:28 UTC 2026","Validate entity","Files","",""
"","302","Update course","LMS service","Sat May 02 10:50:20 UTC 2026","passed","Sat May 02 10:50:20 UTC 2026","Update entity","Courses","",""
"","289","Update exercise","LMS service","Sat May 02 10:50:22 UTC 2026","passed","Sat May 02 10:50:23 UTC 2026","Update entity","Exercises","",""
"","28","Create course","LMS service","Sat May 02 10:50:21 UTC 2026","passed","Sat May 02 10:50:21 UTC 2026","Create entity","Courses","",""
"","11","Get file","LMS service","Sat May 02 10:50:25 UTC 2026","passed","Sat May 02 10:50:25 UTC 2026","Get entity","Files","",""
"","266","Create file with empty directory","LMS service","Sat May 02 10:50:26 UTC 2026","passed","Sat May 02 10:50:26 UTC 2026","Validate entity","Files","",""
"","559","Create user","LMS service","Sat May 02 10:50:28 UTC 2026","passed","Sat May 02 10:50:28 UTC 2026","Create entity","Users","",""
"","267","Create file","LMS service","Sat May 02 10:50:24 UTC 2026","passed","Sat May 02 10:50:25 UTC 2026","Create entity","Files","",""
"","546","Create user","LMS service","Sat May 02 10:50:27 UTC 2026","passed","Sat May 02 10:50:28 UTC 2026","Create entity","Users","",""
"","302","Get courses","LMS service","Sat May 02 10:50:20 UTC 2026","passed","Sat May 02 10:50:21 UTC 2026","Get entities","Courses","",""
