"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","309","Update course","LMS service","Fri May 01 21:06:36 UTC 2026","passed","Fri May 01 21:06:36 UTC 2026","Update entity","Courses","",""
"","31","Create course","LMS service","Fri May 01 21:06:37 UTC 2026","passed","Fri May 01 21:06:37 UTC 2026","Create entity","Courses","",""
"","558","Create user","LMS service","Fri May 01 21:06:44 UTC 2026","passed","Fri May 01 21:06:45 UTC 2026","Create entity","Users","",""
"","265","Get file with incorrect file id","LMS service","Fri May 01 21:06:44 UTC 2026","passed","Fri May 01 21:06:44 UTC 2026","Validate entity","Files","",""
"","21","Delete file","LMS service","Fri May 01 21:06:43 UTC 2026","passed","Fri May 01 21:06:43 UTC 2026","Delete entity","Files","",""
"","548","Create user","LMS service","Fri May 01 21:06:43 UTC 2026","passed","Fri May 01 21:06:44 UTC 2026","Create entity","Users","",""
"","289","Update exercise","LMS service","Fri May 01 21:06:39 UTC 2026","passed","Fri May 01 21:06:39 UTC 2026","Update entity","Exercises","",""
"","557","Create user","LMS service","Fri May 01 21:06:44 UTC 2026","passed","Fri May 01 21:06:45 UTC 2026","Create entity","Users","",""
"","549","Login with correct credentials","LMS service","Fri May 01 21:06:35 UTC 2026","passed","Fri May 01 21:06:36 UTC 2026","Login","Authentication","",""
"","267","Create file with empty filename","LMS service","Fri May 01 21:06:42 UTC 2026","passed","Fri May 01 21:06:42 UTC 2026","Validate entity","Files","",""
"","293","Get exercise","LMS service","Fri May 01 21:06:39 UTC 2026","passed","Fri May 01 21:06:39 UTC 2026","Get entity","Exercises","",""
"","19","Get exercises","LMS service","Fri May 01 21:06:40 UTC 2026","passed","Fri May 01 21:06:40 UTC 2026","Get entities","Exercises","",""
"","22","Create exercise","LMS service","Fri May 01 21:06:38 UTC 2026","passed","Fri May 01 21:06:38 UTC 2026","Create entity","Exercises","",""
"","12","Get user me","LMS service","Fri May 01 21:06:45 UTC 2026","passed","Fri May 01 21:06:45 UTC 2026","Get entity","Users","",""
"","268","Create file with empty directory","LMS service","Fri May 01 21:06:42 UTC 2026","passed","Fri May 01 21:06:43 UTC 2026","Validate entity","Files","",""
"","270","Create file","LMS service","Fri May 01 21:06:41 UTC 2026","passed","Fri May 01 21:06:41 UTC 2026","Create entity","Files","",""
"","17","Delete exercise","LMS service","Fri May 01 21:06:40 UTC 2026","passed","Fri May 01 21:06:40 UTC 2026","Delete entity","Exercises","",""
"","33","Get courses","LMS service","Fri May 01 21:06:37 UTC 2026","passed","Fri May 01 21:06:37 UTC 2026","Get entities","Courses","",""
"","13","Get file","LMS service","Fri May 01 21:06:42 UTC 2026","passed","Fri May 01 21:06:42 UTC 2026","Get entity","Files","",""
