"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Get file","LMS service","Sat May 02 20:21:32 UTC 2026","passed","Sat May 02 20:21:32 UTC 2026","Get entity","Files","",""
"","268","Get file with incorrect file id","LMS service","Sat May 02 20:21:34 UTC 2026","passed","Sat May 02 20:21:35 UTC 2026","Validate entity","Files","",""
"","265","Create file with empty filename","LMS service","Sat May 02 20:21:33 UTC 2026","passed","Sat May 02 20:21:33 UTC 2026","Validate entity","Files","",""
"","563","Create user","LMS service","Sat May 02 20:21:35 UTC 2026","passed","Sat May 02 20:21:35 UTC 2026","Create entity","Users","",""
"","289","Create user","LMS service","Sat May 02 20:21:35 UTC 2026","passed","Sat May 02 20:21:35 UTC 2026","Create entity","Users","",""
"","268","Create file","LMS service","Sat May 02 20:21:31 UTC 2026","passed","Sat May 02 20:21:32 UTC 2026","Create entity","Files","",""
"","268","Create file with empty directory","LMS service","Sat May 02 20:21:33 UTC 2026","passed","Sat May 02 20:21:34 UTC 2026","Validate entity","Files","",""
"","306","Update course","LMS service","Sat May 02 20:21:27 UTC 2026","passed","Sat May 02 20:21:27 UTC 2026","Update entity","Courses","",""
"","552","Create user","LMS service","Sat May 02 20:21:34 UTC 2026","passed","Sat May 02 20:21:35 UTC 2026","Create entity","Users","",""
"","20","Get exercises","LMS service","Sat May 02 20:21:31 UTC 2026","passed","Sat May 02 20:21:31 UTC 2026","Get entities","Exercises","",""
"","557","Login with correct credentials","LMS service","Sat May 02 20:21:26 UTC 2026","passed","Sat May 02 20:21:27 UTC 2026","Login","Authentication","",""
"","35","Create course","LMS service","Sat May 02 20:21:28 UTC 2026","passed","Sat May 02 20:21:28 UTC 2026","Create entity","Courses","",""
"","291","Update exercise","LMS service","Sat May 02 20:21:29 UTC 2026","passed","Sat May 02 20:21:30 UTC 2026","Update entity","Exercises","",""
"","24","Get exercise","LMS service","Sat May 02 20:21:30 UTC 2026","passed","Sat May 02 20:21:30 UTC 2026","Get entity","Exercises","",""
"","21","Delete file","LMS service","Sat May 02 20:21:34 UTC 2026","passed","Sat May 02 20:21:34 UTC 2026","Delete entity","Files","",""
"","19","Delete exercise","LMS service","Sat May 02 20:21:31 UTC 2026","passed","Sat May 02 20:21:31 UTC 2026","Delete entity","Exercises","",""
"","13","Get user me","LMS service","Sat May 02 20:21:36 UTC 2026","passed","Sat May 02 20:21:36 UTC 2026","Get entity","Users","",""
"","32","Create exercise","LMS service","Sat May 02 20:21:29 UTC 2026","passed","Sat May 02 20:21:29 UTC 2026","Create entity","Exercises","",""
"","30","Get courses","LMS service","Sat May 02 20:21:28 UTC 2026","passed","Sat May 02 20:21:28 UTC 2026","Get entities","Courses","",""
