"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","259","Create file with empty filename","LMS service","Fri Apr 10 10:56:55 UTC 2026","passed","Fri Apr 10 10:56:56 UTC 2026","Validate entity","Files","",""
"","544","Create user","LMS service","Fri Apr 10 10:56:57 UTC 2026","passed","Fri Apr 10 10:56:57 UTC 2026","Create entity","Users","",""
"","306","Update course","LMS service","Fri Apr 10 10:56:49 UTC 2026","passed","Fri Apr 10 10:56:50 UTC 2026","Update entity","Courses","",""
"","559","Create user","LMS service","Fri Apr 10 10:56:57 UTC 2026","passed","Fri Apr 10 10:56:58 UTC 2026","Create entity","Users","",""
"","18","Get exercises","LMS service","Fri Apr 10 10:56:54 UTC 2026","passed","Fri Apr 10 10:56:54 UTC 2026","Get entities","Exercises","",""
"","12","Get user me","LMS service","Fri Apr 10 10:56:58 UTC 2026","passed","Fri Apr 10 10:56:58 UTC 2026","Get entity","Users","",""
"","293","Update exercise","LMS service","Fri Apr 10 10:56:52 UTC 2026","passed","Fri Apr 10 10:56:52 UTC 2026","Update entity","Exercises","",""
"","284","Login with correct credentials","LMS service","Fri Apr 10 10:56:49 UTC 2026","passed","Fri Apr 10 10:56:49 UTC 2026","Login","Authentication","",""
"","293","Delete exercise","LMS service","Fri Apr 10 10:56:53 UTC 2026","passed","Fri Apr 10 10:56:53 UTC 2026","Delete entity","Exercises","",""
"","267","Create file","LMS service","Fri Apr 10 10:56:54 UTC 2026","passed","Fri Apr 10 10:56:54 UTC 2026","Create entity","Files","",""
"","262","Create file with empty directory","LMS service","Fri Apr 10 10:56:56 UTC 2026","passed","Fri Apr 10 10:56:56 UTC 2026","Validate entity","Files","",""
"","31","Create course","LMS service","Fri Apr 10 10:56:51 UTC 2026","passed","Fri Apr 10 10:56:51 UTC 2026","Create entity","Courses","",""
"","24","Delete file","LMS service","Fri Apr 10 10:56:57 UTC 2026","passed","Fri Apr 10 10:56:57 UTC 2026","Delete entity","Files","",""
"","38","Get courses","LMS service","Fri Apr 10 10:56:50 UTC 2026","passed","Fri Apr 10 10:56:50 UTC 2026","Get entities","Courses","",""
"","27","Create exercise","LMS service","Fri Apr 10 10:56:51 UTC 2026","passed","Fri Apr 10 10:56:51 UTC 2026","Create entity","Exercises","",""
"","559","Create user","LMS service","Fri Apr 10 10:56:57 UTC 2026","passed","Fri Apr 10 10:56:58 UTC 2026","Create entity","Users","",""
"","270","Get file with incorrect file id","LMS service","Fri Apr 10 10:56:57 UTC 2026","passed","Fri Apr 10 10:56:57 UTC 2026","Validate entity","Files","",""
"","22","Get exercise","LMS service","Fri Apr 10 10:56:53 UTC 2026","passed","Fri Apr 10 10:56:53 UTC 2026","Get entity","Exercises","",""
"","15","Get file","LMS service","Fri Apr 10 10:56:55 UTC 2026","passed","Fri Apr 10 10:56:55 UTC 2026","Get entity","Files","",""
