"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","275","Create file with empty directory","LMS service","Sat May 02 14:20:24 UTC 2026","passed","Sat May 02 14:20:24 UTC 2026","Validate entity","Files","",""
"","290","Update exercise","LMS service","Sat May 02 14:20:20 UTC 2026","passed","Sat May 02 14:20:21 UTC 2026","Update entity","Exercises","",""
"","31","Get courses","LMS service","Sat May 02 14:20:19 UTC 2026","passed","Sat May 02 14:20:19 UTC 2026","Get entities","Courses","",""
"","18","Delete exercise","LMS service","Sat May 02 14:20:22 UTC 2026","passed","Sat May 02 14:20:22 UTC 2026","Delete entity","Exercises","",""
"","12","Get file","LMS service","Sat May 02 14:20:23 UTC 2026","passed","Sat May 02 14:20:23 UTC 2026","Get entity","Files","",""
"","18","Get exercises","LMS service","Sat May 02 14:20:22 UTC 2026","passed","Sat May 02 14:20:22 UTC 2026","Get entities","Exercises","",""
"","265","Create file with empty filename","LMS service","Sat May 02 14:20:24 UTC 2026","passed","Sat May 02 14:20:24 UTC 2026","Validate entity","Files","",""
"","306","Update course","LMS service","Sat May 02 14:20:18 UTC 2026","passed","Sat May 02 14:20:18 UTC 2026","Update entity","Courses","",""
"","19","Delete file","LMS service","Sat May 02 14:20:25 UTC 2026","passed","Sat May 02 14:20:25 UTC 2026","Delete entity","Files","",""
"","31","Create course","LMS service","Sat May 02 14:20:19 UTC 2026","passed","Sat May 02 14:20:19 UTC 2026","Create entity","Courses","",""
"","265","Create file","LMS service","Sat May 02 14:20:22 UTC 2026","passed","Sat May 02 14:20:23 UTC 2026","Create entity","Files","",""
"","25","Create exercise","LMS service","Sat May 02 14:20:20 UTC 2026","passed","Sat May 02 14:20:20 UTC 2026","Create entity","Exercises","",""
"","11","Get user me","LMS service","Sat May 02 14:20:27 UTC 2026","passed","Sat May 02 14:20:27 UTC 2026","Get entity","Users","",""
"","547","Create user","LMS service","Sat May 02 14:20:25 UTC 2026","passed","Sat May 02 14:20:26 UTC 2026","Create entity","Users","",""
"","20","Get exercise","LMS service","Sat May 02 14:20:21 UTC 2026","passed","Sat May 02 14:20:21 UTC 2026","Get entity","Exercises","",""
"","263","Get file with incorrect file id","LMS service","Sat May 02 14:20:25 UTC 2026","passed","Sat May 02 14:20:26 UTC 2026","Validate entity","Files","",""
"","287","Create user","LMS service","Sat May 02 14:20:26 UTC 2026","passed","Sat May 02 14:20:26 UTC 2026","Create entity","Users","",""
"","557","Create user","LMS service","Sat May 02 14:20:26 UTC 2026","passed","Sat May 02 14:20:26 UTC 2026","Create entity","Users","",""
"","554","Login with correct credentials","LMS service","Sat May 02 14:20:17 UTC 2026","passed","Sat May 02 14:20:18 UTC 2026","Login","Authentication","",""
