"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","Update exercise","LMS service","Sat May 02 11:05:29 UTC 2026","passed","Sat May 02 11:05:29 UTC 2026","Update entity","Exercises","",""
"","23","Create exercise","LMS service","Sat May 02 11:05:28 UTC 2026","passed","Sat May 02 11:05:28 UTC 2026","Create entity","Exercises","",""
"","561","Create user","LMS service","Sat May 02 11:05:34 UTC 2026","passed","Sat May 02 11:05:35 UTC 2026","Create entity","Users","",""
"","14","Get file","LMS service","Sat May 02 11:05:32 UTC 2026","passed","Sat May 02 11:05:32 UTC 2026","Get entity","Files","",""
"","555","Login with correct credentials","LMS service","Sat May 02 11:05:26 UTC 2026","passed","Sat May 02 11:05:26 UTC 2026","Login","Authentication","",""
"","28","Get courses","LMS service","Sat May 02 11:05:27 UTC 2026","passed","Sat May 02 11:05:27 UTC 2026","Get entities","Courses","",""
"","273","Create file with empty directory","LMS service","Sat May 02 11:05:33 UTC 2026","passed","Sat May 02 11:05:33 UTC 2026","Validate entity","Files","",""
"","263","Create file with empty filename","LMS service","Sat May 02 11:05:32 UTC 2026","passed","Sat May 02 11:05:32 UTC 2026","Validate entity","Files","",""
"","22","Get exercises","LMS service","Sat May 02 11:05:31 UTC 2026","passed","Sat May 02 11:05:31 UTC 2026","Get entities","Exercises","",""
"","542","Create user","LMS service","Sat May 02 11:05:34 UTC 2026","passed","Sat May 02 11:05:34 UTC 2026","Create entity","Users","",""
"","12","Get user me","LMS service","Sat May 02 11:05:35 UTC 2026","passed","Sat May 02 11:05:35 UTC 2026","Get entity","Users","",""
"","304","Update course","LMS service","Sat May 02 11:05:26 UTC 2026","passed","Sat May 02 11:05:26 UTC 2026","Update entity","Courses","",""
"","20","Delete file","LMS service","Sat May 02 11:05:34 UTC 2026","passed","Sat May 02 11:05:34 UTC 2026","Delete entity","Files","",""
"","269","Get file with incorrect file id","LMS service","Sat May 02 11:05:34 UTC 2026","passed","Sat May 02 11:05:34 UTC 2026","Validate entity","Files","",""
"","19","Delete exercise","LMS service","Sat May 02 11:05:30 UTC 2026","passed","Sat May 02 11:05:30 UTC 2026","Delete entity","Exercises","",""
"","22","Get exercise","LMS service","Sat May 02 11:05:29 UTC 2026","passed","Sat May 02 11:05:29 UTC 2026","Get entity","Exercises","",""
"","265","Create file","LMS service","Sat May 02 11:05:31 UTC 2026","passed","Sat May 02 11:05:31 UTC 2026","Create entity","Files","",""
"","562","Create user","LMS service","Sat May 02 11:05:34 UTC 2026","passed","Sat May 02 11:05:35 UTC 2026","Create entity","Users","",""
"","36","Create course","LMS service","Sat May 02 11:05:28 UTC 2026","passed","Sat May 02 11:05:28 UTC 2026","Create entity","Courses","",""
