"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","297","Create file with empty filename","LMS service","Sat May 02 20:36:44 UTC 2026","passed","Sat May 02 20:36:44 UTC 2026","Validate entity","Files","",""
"","29","Create course","LMS service","Sat May 02 20:36:39 UTC 2026","passed","Sat May 02 20:36:39 UTC 2026","Create entity","Courses","",""
"","12","Get user me","LMS service","Sat May 02 20:36:47 UTC 2026","passed","Sat May 02 20:36:47 UTC 2026","Get entity","Users","",""
"","25","Get courses","LMS service","Sat May 02 20:36:37 UTC 2026","passed","Sat May 02 20:36:37 UTC 2026","Get entities","Courses","",""
"","334","Update course","LMS service","Sat May 02 20:36:37 UTC 2026","passed","Sat May 02 20:36:37 UTC 2026","Update entity","Courses","",""
"","17","Create file with empty directory","LMS service","Sat May 02 20:36:44 UTC 2026","passed","Sat May 02 20:36:44 UTC 2026","Validate entity","Files","",""
"","30","Delete exercise","LMS service","Sat May 02 20:36:41 UTC 2026","passed","Sat May 02 20:36:41 UTC 2026","Delete entity","Exercises","",""
"","589","Create user","LMS service","Sat May 02 20:36:46 UTC 2026","passed","Sat May 02 20:36:46 UTC 2026","Create entity","Users","",""
"","17","Get file","LMS service","Sat May 02 20:36:43 UTC 2026","passed","Sat May 02 20:36:43 UTC 2026","Get entity","Files","",""
"","23","Create exercise","LMS service","Sat May 02 20:36:39 UTC 2026","passed","Sat May 02 20:36:39 UTC 2026","Create entity","Exercises","",""
"","26","Update exercise","LMS service","Sat May 02 20:36:40 UTC 2026","passed","Sat May 02 20:36:40 UTC 2026","Update entity","Exercises","",""
"","14","Get file with incorrect file id","LMS service","Sat May 02 20:36:45 UTC 2026","passed","Sat May 02 20:36:45 UTC 2026","Validate entity","Files","",""
"","329","Create user","LMS service","Sat May 02 20:36:45 UTC 2026","passed","Sat May 02 20:36:45 UTC 2026","Create entity","Users","",""
"","22","Get exercise","LMS service","Sat May 02 20:36:40 UTC 2026","passed","Sat May 02 20:36:40 UTC 2026","Get entity","Exercises","",""
"","300","Create file","LMS service","Sat May 02 20:36:42 UTC 2026","passed","Sat May 02 20:36:43 UTC 2026","Create entity","Files","",""
"","319","Login with correct credentials","LMS service","Sat May 02 20:36:36 UTC 2026","passed","Sat May 02 20:36:36 UTC 2026","Login","Authentication","",""
"","22","Delete file","LMS service","Sat May 02 20:36:45 UTC 2026","passed","Sat May 02 20:36:45 UTC 2026","Delete entity","Files","",""
"","624","Create user","LMS service","Sat May 02 20:36:45 UTC 2026","passed","Sat May 02 20:36:46 UTC 2026","Create entity","Users","",""
"","17","Get exercises","LMS service","Sat May 02 20:36:41 UTC 2026","passed","Sat May 02 20:36:41 UTC 2026","Get entities","Exercises","",""
