"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Get exercise","LMS service","Wed May 27 20:09:45 UTC 2026","passed","Wed May 27 20:09:45 UTC 2026","Get entity","Exercises","",""
"","12","Get user me","LMS service","Wed May 27 20:09:51 UTC 2026","passed","Wed May 27 20:09:51 UTC 2026","Get entity","Users","",""
"","297","Create file with empty filename","LMS service","Wed May 27 20:09:47 UTC 2026","passed","Wed May 27 20:09:48 UTC 2026","Validate entity","Files","",""
"","21","Create file","LMS service","Wed May 27 20:09:46 UTC 2026","passed","Wed May 27 20:09:46 UTC 2026","Create entity","Files","",""
"","300","Create file with empty directory","LMS service","Wed May 27 20:09:49 UTC 2026","passed","Wed May 27 20:09:49 UTC 2026","Validate entity","Files","",""
"","333","Get courses","LMS service","Wed May 27 20:09:41 UTC 2026","passed","Wed May 27 20:09:41 UTC 2026","Get entities","Courses","",""
"","26","Create course","LMS service","Wed May 27 20:09:42 UTC 2026","passed","Wed May 27 20:09:42 UTC 2026","Create entity","Courses","",""
"","28","Update course","LMS service","Wed May 27 20:09:42 UTC 2026","passed","Wed May 27 20:09:42 UTC 2026","Update entity","Courses","",""
"","616","Create user","LMS service","Wed May 27 20:09:49 UTC 2026","passed","Wed May 27 20:09:50 UTC 2026","Create entity","Users","",""
"","17","Get exercises","LMS service","Wed May 27 20:09:46 UTC 2026","passed","Wed May 27 20:09:46 UTC 2026","Get entities","Exercises","",""
"","317","Login with correct credentials","LMS service","Wed May 27 20:09:40 UTC 2026","passed","Wed May 27 20:09:40 UTC 2026","Login","Authentication","",""
"","27","Create exercise","LMS service","Wed May 27 20:09:44 UTC 2026","passed","Wed May 27 20:09:44 UTC 2026","Create entity","Exercises","",""
"","19","Delete exercise","LMS service","Wed May 27 20:09:45 UTC 2026","passed","Wed May 27 20:09:45 UTC 2026","Delete entity","Exercises","",""
"","324","Create user","LMS service","Wed May 27 20:09:50 UTC 2026","passed","Wed May 27 20:09:50 UTC 2026","Create entity","Users","",""
"","22","Update exercise","LMS service","Wed May 27 20:09:44 UTC 2026","passed","Wed May 27 20:09:44 UTC 2026","Update entity","Exercises","",""
"","14","Get file","LMS service","Wed May 27 20:09:48 UTC 2026","passed","Wed May 27 20:09:48 UTC 2026","Get entity","Files","",""
"","334","Delete file","LMS service","Wed May 27 20:09:49 UTC 2026","passed","Wed May 27 20:09:49 UTC 2026","Delete entity","Files","",""
"","16","Refresh token with correct credentials","LMS service","Wed May 27 20:09:41 UTC 2026","passed","Wed May 27 20:09:41 UTC 2026","Refresh","Authentication","",""
"","310","Get file with incorrect file id","LMS service","Wed May 27 20:09:50 UTC 2026","passed","Wed May 27 20:09:50 UTC 2026","Validate entity","Files","",""
"","615","Create user","LMS service","Wed May 27 20:09:50 UTC 2026","passed","Wed May 27 20:09:51 UTC 2026","Create entity","Users","",""
