"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","297","Get exercises","LMS service","Sat May 02 20:24:24 UTC 2026","passed","Sat May 02 20:24:25 UTC 2026","Get entities","Exercises","",""
"","261","Get file with incorrect file id","LMS service","Sat May 02 20:24:28 UTC 2026","passed","Sat May 02 20:24:28 UTC 2026","Validate entity","Files","",""
"","289","Update exercise","LMS service","Sat May 02 20:24:23 UTC 2026","passed","Sat May 02 20:24:23 UTC 2026","Update entity","Exercises","",""
"","551","Create user","LMS service","Sat May 02 20:24:27 UTC 2026","passed","Sat May 02 20:24:28 UTC 2026","Create entity","Users","",""
"","558","Create user","LMS service","Sat May 02 20:24:28 UTC 2026","passed","Sat May 02 20:24:29 UTC 2026","Create entity","Users","",""
"","291","Get exercise","LMS service","Sat May 02 20:24:23 UTC 2026","passed","Sat May 02 20:24:23 UTC 2026","Get entity","Exercises","",""
"","560","Create user","LMS service","Sat May 02 20:24:28 UTC 2026","passed","Sat May 02 20:24:29 UTC 2026","Create entity","Users","",""
"","19","Delete exercise","LMS service","Sat May 02 20:24:24 UTC 2026","passed","Sat May 02 20:24:24 UTC 2026","Delete entity","Exercises","",""
"","275","Create file with empty filename","LMS service","Sat May 02 20:24:26 UTC 2026","passed","Sat May 02 20:24:26 UTC 2026","Validate entity","Files","",""
"","270","Create file with empty directory","LMS service","Sat May 02 20:24:27 UTC 2026","passed","Sat May 02 20:24:27 UTC 2026","Validate entity","Files","",""
"","31","Create exercise","LMS service","Sat May 02 20:24:22 UTC 2026","passed","Sat May 02 20:24:22 UTC 2026","Create entity","Exercises","",""
"","553","Login with correct credentials","LMS service","Sat May 02 20:24:19 UTC 2026","passed","Sat May 02 20:24:20 UTC 2026","Login","Authentication","",""
"","22","Delete file","LMS service","Sat May 02 20:24:27 UTC 2026","passed","Sat May 02 20:24:27 UTC 2026","Delete entity","Files","",""
"","12","Get user me","LMS service","Sat May 02 20:24:29 UTC 2026","passed","Sat May 02 20:24:29 UTC 2026","Get entity","Users","",""
"","13","Get file","LMS service","Sat May 02 20:24:26 UTC 2026","passed","Sat May 02 20:24:26 UTC 2026","Get entity","Files","",""
"","29","Get courses","LMS service","Sat May 02 20:24:21 UTC 2026","passed","Sat May 02 20:24:21 UTC 2026","Get entities","Courses","",""
"","305","Update course","LMS service","Sat May 02 20:24:20 UTC 2026","passed","Sat May 02 20:24:20 UTC 2026","Update entity","Courses","",""
"","32","Create course","LMS service","Sat May 02 20:24:21 UTC 2026","passed","Sat May 02 20:24:21 UTC 2026","Create entity","Courses","",""
"","271","Create file","LMS service","Sat May 02 20:24:25 UTC 2026","passed","Sat May 02 20:24:25 UTC 2026","Create entity","Files","",""
